region,rank,A_test,AB_test,A_test_Logical,AB_test_Logical,Zero_Rank,A_test_boot,AB_test_boot
449,2,0,0.5738,FALSE,TRUE,FALSE,0,0.6533
450,2,0,0.094,FALSE,TRUE,FALSE,0,0.1256
451,2,0.0019,0.0126,FALSE,TRUE,FALSE,0.005,0.0503
452,2,0,0.3488,FALSE,TRUE,FALSE,0,0.5578
453,1,0,NA,FALSE,NA,FALSE,0,0
454,2,2e-4,0.3093,FALSE,TRUE,FALSE,0.005,0.5628
455,2,1e-4,0.6769,FALSE,TRUE,FALSE,0,0.8442
456,2,0,2e-4,FALSE,FALSE,FALSE,0,0
457,2,0,0.117,FALSE,TRUE,FALSE,0,0.2513
458,2,1e-4,0,FALSE,FALSE,FALSE,0,0
459,2,0,0.0058,FALSE,FALSE,FALSE,0,0.0503
460,2,0,1e-4,FALSE,FALSE,FALSE,0,0
461,2,0,0.161,FALSE,TRUE,FALSE,0.0151,0.402
462,2,0.0075,0.0594,FALSE,TRUE,FALSE,0.0452,0.206
463,2,0,0.008,FALSE,FALSE,FALSE,0,0.0603
464,2,1e-4,0.0748,FALSE,TRUE,FALSE,0,0.1859
465,1,0.0262,NA,TRUE,NA,FALSE,0.0854,0.0603
466,2,0,0.0091,FALSE,FALSE,FALSE,0,0.0553
467,2,0.0056,0.4671,FALSE,TRUE,FALSE,0.0553,0.5578
468,1,0.2024,NA,TRUE,NA,FALSE,0.3668,0.2864
469,2,0,0.4579,FALSE,TRUE,FALSE,0,0.6332
470,2,0.0018,0.0217,FALSE,TRUE,FALSE,0.0201,0.0854
471,2,6e-4,0.0876,FALSE,TRUE,FALSE,0.0101,0.2864
472,2,0,0.0048,FALSE,FALSE,FALSE,0,0.0352
473,2,0.4042,0.21,TRUE,TRUE,FALSE,0.6131,0.4623
474,2,0,0.0403,FALSE,TRUE,FALSE,0,0.1457
475,2,0,0.0138,FALSE,TRUE,FALSE,0,0.0251
476,2,0.0055,0.0813,FALSE,TRUE,FALSE,0.0302,0.1809
477,2,0,0.0045,FALSE,FALSE,FALSE,0,0.0352
478,2,0,0.0203,FALSE,TRUE,FALSE,0,0.0704
479,2,0.0027,0.4779,FALSE,TRUE,FALSE,0.0101,0.6633
480,2,0,0.0253,FALSE,TRUE,FALSE,0,0.1457
481,2,3e-4,0.004,FALSE,FALSE,FALSE,0,0.0251
